morada_ID,MORADA,FREG_2012
658,Praça da Alegria,Santo António
659,Rua Conselheiro Arantes Pedroso,Arroios
660,Calçada do Garcia,Arroios
661,Rua de Barros Queirós,Arroios
662,Travessa do Salitre,Santo António
663,Rua de Dona Filipa de Vilhena,Avenidas Novas
664,Rua António Ferreira,Alvalade
665,Rua de Santiago,Santa Maria Maior
666,Largo do Picadeiro,Santa Maria Maior
667,Rua da Saudade,Santa Maria Maior
668,Travessa do Convento de Jesus,Misericórdia
669,Largo de Santo António da Sé,Santa Maria Maior
670,Escadinhas da Achada,Santa Maria Maior
671,Rua Comandante Fontoura da Costa,Lumiar
672,Estrada Militar,Carnide
673,Rua Prof. João Barreira,Lumiar
674,Rua D. António Caetano de Sousa,Benfica
675,Rua Projectada,São Domingos de Benfica
676,Praceta do Chinquilho,Alcântara
677,Calçada de Santo Amaro,Alcântara
678,Rua de Diogo Cão,Alcântara
679,Rua Interior à Est. da Correia,Carnide
680,Largo da Paz,Ajuda
681,Não identificada,Marvila
682,Rua Alfredo Duarte (Marceneiro),Marvila
683,Largo das Olarias,Santa Maria Maior
684,Rua de Artilharia Um,Campolide
685,Rua Passos Manuel,Arroios
686,Rua de Artilharia Um,Avenidas Novas
687,Rua de Pascoal de Melo,Arroios
688,Rua Prof. Sousa da Câmara,Campolide
689,Rua da Escola do Exército,Arroios
690,Rua Cervantes,Areeiro
691,Praça Afrânio Peixoto,Areeiro
692,Rua Gomes da Silva,Areeiro
693,Rua Eduardo Fernandes (Esculápio),Areeiro
694,Avenida Elias Garcia,Avenidas Novas
695,Rua Cardoso de Oliveira,Areeiro
696,Rua Julieta Ferrão,Avenidas Novas
697,Avenida do México,Areeiro
698,Rua Stuart Carvalhais,Areeiro
699,Rua da Oliveirinha,São Vicente
700,Rua da Estrela,Estrela
701,Rua Domingos Sequeira,Estrela
